lang,type,title,url,slug,date,seo_title,seo_desc,target_kw,og_title,og_img
en,page,404,https://theglobal.school/404-2/,404-2,2018-01-10 21:35:13,,,,,
en,page,The New Global School,https://theglobal.school/about-us/,about-us,2017-12-19 22:30:10,The New Global School - Event Organization,"We design and organize international events & educational programs. Since 2010, Vienna, Berlin, Geneva & CDMX. Event Organization","Event Organizer in Vienna,Event Planning,Event Planning and Organization,Event Organization,International Events,International Events Organizer,International Events in Vienna,Education in Vienna,Global Events in Vienna,Event Organizer,Events United Nations,Events in Vienna,Events in English Vienna",The New Global School - Event Organization,https://theglobal.school/wp-content/uploads/2024/02/The-New-Global-School.jpg
en,page,African Leaders Awards,https://theglobal.school/african-leaders-awards/,african-leaders-awards,2023-01-20 20:21:08,,,,,
en,page,AI for Sustainable Development,https://theglobal.school/ai-for-sustainable-development/,ai-for-sustainable-development,2024-05-16 12:51:35,,,,,
en,page,Artificial Intelligence European Forum,https://theglobal.school/ai-sustainability/,ai-sustainability,2024-06-19 10:45:51,Artificial Intelligence Europe,"Artificial Intelligence Forum Europe. Vienna, Austria","Artificial Inteligence,Sustainable Development",Artificial Intelligence Europe,https://theglobal.school/wp-content/uploads/2024/02/The-New-Global-School.jpg
en,page,"People, Purpose, Planet Blog",https://theglobal.school/blog/,blog,2017-12-19 15:39:33,%%title%% %%page%% %%sep%% The Global School for Social Leaders,"We connect the new generation of purpose-driven leaders & Innovators. People, Purpose, Planet is the Blog of The Global School.",Blog,"People, Purpose, Planet",https://theglobal.school/wp-content/uploads/2018/06/dog-guatemala.jpg
en,page,Certification in Sustainability ISO 37101,https://theglobal.school/certification-in-sustainability-iso-37101/,certification-in-sustainability-iso-37101,2023-06-27 10:36:46,%%title%% %%page%%,Get certified internationally in Management Systems for Sustainable Development in Communities. Certification in Sustainability ISO 37101,Certification in Sustainability ISO 37101,Certification in Sustainability ISO 37101,
en,page,Certification ISO 26000 Social Responsibility,https://theglobal.school/certification-iso-26000-social-responsibility/,certification-iso-26000-social-responsibility,2023-07-10 10:59:14,%%title%% %%page%% %%sep%%,"Certification ISO 26000 Social Responsibility. 100% Recognised, international and trustworthy. Sustainability Leaders.",Certification ISO 26000 Social Responsibility,Certification ISO 26000 Social Responsibility,
en,page,Certification ISO 9001 Quality Management Systems,https://theglobal.school/certification-iso-9001-quality-management-systems/,certification-iso-9001-quality-management-systems,2023-07-10 13:09:57,%%title%% %%page%%,"Certification ISO 9001 Quality Management Systems. 100% Recognised, international and trustworthy. Sustainability Leaders.",Certification ISO 9001 Quality Management Systems,ISO 9001 Quality Management Systems,
en,page,Champions of Our Planet,https://theglobal.school/champions-of-our-planet/,champions-of-our-planet,2023-09-18 12:21:41,Champions of Our Planet,Meet the boldest and most innovative businesses solving the biggest planetary challenge.,"Climate Tech,climate tech vc,climate technologies,climate tech startups,climate tech companies,climate tech jobs,climate technology thermostat,climate tech list,climate tech innovators and leaders program,climate tech news,Plan A,Green Tech,green tech cluster,greentech festival,green tech fleece,green tech company,green technology metals,green technology examples,green technology,green technology chennai,green tech solutions,Clean Tech,clean technology,clean technique,clean technology investment tax credit,clean tech company,cleantechnica,clean tech lithium share price,clean technique nursing,Climate Solutions,climate solutions accelerator,climate solutions fund,climate solutions windows reviews,climate solutions now act,climate solutions hvac,climate solutions austin tx,climate solutions council,Climate Europe,climate europe map,climate europe 2,climate europe 2050,climate europe 2023,climate european commission,climate european,climate europe november,climate european union,Climate Lab,climate lab wien,climate labs gmbh,climate labels,climate laboratory,climate lab jacket,climate lab enterprise,climate lab puffer,climate lab upei",,
en,page,Climate Action Leaders,https://theglobal.school/climate-action-leaders/,climate-action-leaders,2022-08-12 13:02:51,%%title%% %%page%%,,Climate Action Leaders,Climate Action Leaders,
en,page,Community,https://theglobal.school/community/,community,2018-02-05 20:48:59,,The Global School for Social Leaders is a multi-awarded NGO specializing in disruptive & holistic education for the new generation of global social leaders.,Community,School for Social Leaders - Community,https://es.theglobal.school/wp-content/uploads/2019/05//Latam-Summit-OFID-WEB.jpg
